cell_id,mean_elevation_m
NGA_5km_030000,153.72762345679013
NGA_5km_030001,134.14143277391975
NGA_5km_030002,150.44911024305554
NGA_5km_030003,175.61443865740742
NGA_5km_030004,228.2554012345679
NGA_5km_030005,217.09601658950618
NGA_5km_030006,328.7223910108025
NGA_5km_030007,270.61746834150324
NGA_5km_030008,275.17088638117286
NGA_5km_030009,334.1097125771605
NGA_5km_030010,421.0519386574074
NGA_5km_030011,521.0000964506173
NGA_5km_030012,489.3907696759259
NGA_5km_030013,334.1281105324074
NGA_5km_030014,267.7783649918301
NGA_5km_030015,279.492862654321
NGA_5km_030016,315.02360628858025
NGA_5km_030017,395.0290798611111
NGA_5km_030018,439.1101466049383
NGA_5km_030019,498.1989776234568
NGA_5km_030020,503.1820987654321
NGA_5km_030021,514.118537808642
NGA_5km_030022,506.5907373366013
NGA_5km_030023,488.65562307098764
NGA_5km_030024,445.44878472222223
NGA_5km_030025,374.7997202932099
NGA_5km_030026,408.9229841820988
NGA_5km_030027,448.30516975308643
NGA_5km_030028,428.438850308642
NGA_5km_030029,401.62748360339504
NGA_5km_030030,388.2017207924837
NGA_5km_030031,386.71190200617286
NGA_5km_030032,410.087818287037
NGA_5km_030033,403.18127893518516
NGA_5km_030034,416.28153935185185
NGA_5km_030035,458.7183641975309
NGA_5km_030036,451.05367476851853
NGA_5km_030037,441.99795751633985
NGA_5km_030038,458.8216145833333
NGA_5km_030039,495.4585262345679
NGA_5km_030040,476.04991319444446
NGA_5km_030041,429.19859182098764
NGA_5km_030042,387.41806520061726
NGA_5km_030043,361.6135947145062
NGA_5km_030044,339.1286651234568
NGA_5km_030045,315.3623876633987
NGA_5km_030046,313.1032021604938
NGA_5km_030047,349.5125144675926
NGA_5km_030048,363.8352864583333
NGA_5km_030049,361.5094280478395
NGA_5km_030050,370.7748119212963
NGA_5km_030051,398.21409625771605
NGA_5km_030052,431.3420649509804
NGA_5km_030053,429.84471450617286
NGA_5km_030054,426.4246720679012
NGA_5km_030055,450.74373070987656
NGA_5km_030056,461.80473572530866
NGA_5km_030057,443.373649691358
NGA_5km_030058,431.67698688271605
NGA_5km_030059,419.96238425925924
NGA_5km_030060,412.58997140522877
NGA_5km_030061,405.07894483024694
NGA_5km_030062,397.13980516975306
NGA_5km_030063,390.3151041666667
NGA_5km_030064,387.2141203703704
NGA_5km_030065,381.2205102237654
NGA_5km_030066,373.05418113425924
NGA_5km_030067,365.3576147762346
NGA_5km_030068,363.093341503268
NGA_5km_030069,362.261043595679
NGA_5km_030070,363.49787808641975
NGA_5km_030071,362.2033420138889
NGA_5km_030072,360.09702932098764
NGA_5km_030073,356.67481674382714
NGA_5km_030074,353.9293740354938
NGA_5km_030075,351.5632914624183
NGA_5km_030076,349.72984182098764
NGA_5km_030077,347.26304494598764
NGA_5km_030078,344.91505111882714
NGA_5km_030079,343.8474633487654
NGA_5km_030080,343.3361304012346
NGA_5km_030081,342.6393229166667
NGA_5km_030082,341.9966724537037
NGA_5km_030083,341.40277777777777
NGA_5km_030084,340.34220679012344
NGA_5km_030085,338.8381558641975
NGA_5km_030086,338.5413290895062
NGA_5km_030087,338.5919415509259
NGA_5km_030088,339.29287229938274
NGA_5km_030089,338.4112172067901
NGA_5km_030090,338.0890522875817
NGA_5km_030091,337.7755111882716
NGA_5km_030092,338.76760223765433
NGA_5km_030093,340.497444058642
NGA_5km_030094,341.6309799382716
NGA_5km_030095,341.5076678240741
NGA_5km_030096,342.4486400462963
NGA_5km_030097,342.8478009259259
NGA_5km_030098,343.34658394607845
